0,Data,NaN,2016,NaN,NaN
1,CountryName,CountryCode,Population growth,Total population,Area (sq. km)
2,Brazil,BRA,0.82,207652865.00,8358140.00
3,Switzerland,CHE,1.08,8372098.00,39516.00
4,Germany,DEU,1.19,82667685.00,348900.00
5,Denmark,DNK,0.83,?,42262.00
6,Spain,ESP,-0.01,46443959.00,500210.00
7,France,FRA,0.41,66896109.00,547557.00
8,Japan,JPN,-0.12,126994511.00,364560.00
9,Greece,GRC,-0.69,10746740.00,128900.00
10,Iran,IRN,1.15,80277428.00,1628760.00
11,Kuwait,KWT,2.92,4052584.00,?
12,Morocco,MAR,?,35276786.00,446300.00
13,Nigeria,NGA,2.62,185989640.00,910770.00
14,Qatar,QAT,3.50,2569804.00,11610.00
15,Sweden,SWE,?,9903122.00,407310.00
16,India,IND,1.15,1324171354.00,2973190.00
17,World,WLD,1.18,7442135578.00,129733172.70
